Symbol,Date,50 vs 20 EMA Cross with RSI
PPCL,2024-07-15,PPCL - 2024-07-15 00:00:00 - Bear Close: 253.9 - RSI: 66.68
SHL,2024-07-15,SHL - 2024-07-15 00:00:00 - Bear Close: 442.0 - RSI: 56.07
RHPL,2024-07-15,RHPL - 2024-07-15 00:00:00 - Bear Close: 295.0 - RSI: 72.29
HDHPC,2024-07-15,HDHPC - 2024-07-15 00:00:00 - Bear Close: 149.0 - RSI: 80.60
NHPC,2024-07-15,NHPC - 2024-07-15 00:00:00 - Bear Close: 162.9 - RSI: 76.32
GBIME,2024-07-14,GBIME - 2024-07-14 00:00:00 - Bear Close: 200.0 - RSI: 76.49
UMHL,2024-07-14,UMHL - 2024-07-14 00:00:00 - Bear Close: 258.0 - RSI: 67.95
API,2024-07-14,API - 2024-07-14 00:00:00 - Bear Close: 188.0 - RSI: 75.24
SKBBL,2024-07-14,SKBBL - 2024-07-14 00:00:00 - Bear Close: 856.0 - RSI: 74.42
LEC,2024-07-14,LEC - 2024-07-14 00:00:00 - Bear Close: 196.0 - RSI: 68.22
GLH,2024-07-14,GLH - 2024-07-14 00:00:00 - Bear Close: 221.0 - RSI: 59.46
IGI,2024-07-11,IGI - 2024-07-11 00:00:00 - Bear Close: 556.9 - RSI: 66.58
HIDCL,2024-07-11,HIDCL - 2024-07-11 00:00:00 - Bear Close: 172.0 - RSI: 65.01
NLICL,2024-07-11,NLICL - 2024-07-11 00:00:00 - Bear Close: 581.0 - RSI: 70.55
NIMB,2024-07-11,NIMB - 2024-07-11 00:00:00 - Bear Close: 171.5 - RSI: 72.13
KKHC,2024-07-11,KKHC - 2024-07-11 00:00:00 - Bear Close: 236.0 - RSI: 61.77
MHNL,2024-07-11,MHNL - 2024-07-11 00:00:00 - Bear Close: 249.0 - RSI: 56.08
HBL,2024-07-11,HBL - 2024-07-11 00:00:00 - Bear Close: 201.6 - RSI: 75.26
SICL,2024-07-11,SICL - 2024-07-11 00:00:00 - Bear Close: 719.9 - RSI: 68.67
GHL,2024-07-11,GHL - 2024-07-11 00:00:00 - Bear Close: 158.8 - RSI: 66.82
LIFEINSU,2024-07-10,LIFEINSU - 2024-07-10 00:00:00 - Bear Close: 10409.03 - RSI: 63.77
NIFRA,2024-07-10,NIFRA - 2024-07-10 00:00:00 - Bear Close: 208.6 - RSI: 65.46
RNLI,2024-07-10,RNLI - 2024-07-10 00:00:00 - Bear Close: 455.3 - RSI: 67.24
SRLI,2024-07-10,SRLI - 2024-07-10 00:00:00 - Bear Close: 455.0 - RSI: 61.00
SPDL,2024-07-10,SPDL - 2024-07-10 00:00:00 - Bear Close: 241.0 - RSI: 50.52
LSL,2024-07-10,LSL - 2024-07-10 00:00:00 - Bear Close: 165.0 - RSI: 63.29
PMLI,2024-07-09,PMLI - 2024-07-09 00:00:00 - Bear Close: 538.0 - RSI: 68.30
MNBBL,2024-07-09,MNBBL - 2024-07-09 00:00:00 - Bear Close: 358.4 - RSI: 60.52
MHNL,2024-07-09,MHNL - 2024-07-09 00:00:00 - Bull Close: 235.6 - RSI: 46.01
ALICL,2024-07-09,ALICL - 2024-07-09 00:00:00 - Bear Close: 590.0 - RSI: 63.95
GBBL,2024-07-09,GBBL - 2024-07-09 00:00:00 - Bear Close: 384.0 - RSI: 69.51
SPDL,2024-07-09,SPDL - 2024-07-09 00:00:00 - Bull Close: 240.0 - RSI: 49.41
JALPA,2024-07-09,JALPA - 2024-07-09 00:00:00 - Bear Close: 1440.0 - RSI: 61.94
KBL,2024-07-09,KBL - 2024-07-09 00:00:00 - Bear Close: 143.5 - RSI: 60.73
CBBL,2024-07-09,CBBL - 2024-07-09 00:00:00 - Bear Close: 870.0 - RSI: 66.37
NBL,2024-07-08,NBL - 2024-07-08 00:00:00 - Bear Close: 219.0 - RSI: 60.06
GUFL,2024-07-08,GUFL - 2024-07-08 00:00:00 - Bull Close: 697.0 - RSI: 44.39
JBLB,2024-07-08,JBLB - 2024-07-08 00:00:00 - Bear Close: 1434.0 - RSI: 69.75
MBL,2024-07-08,MBL - 2024-07-08 00:00:00 - Bear Close: 183.0 - RSI: 65.01
JBBL,2024-07-07,JBBL - 2024-07-07 00:00:00 - Bear Close: 314.0 - RSI: 74.57
JALPA,2024-07-07,JALPA - 2024-07-07 00:00:00 - Bull Close: 1304.0 - RSI: 42.56
MLBL,2024-07-04,MLBL - 2024-07-04 00:00:00 - Bear Close: 350.0 - RSI: 70.47
LBBL,2024-07-04,LBBL - 2024-07-04 00:00:00 - Bear Close: 403.0 - RSI: 66.80
PRVU,2024-07-04,PRVU - 2024-07-04 00:00:00 - Bear Close: 147.0 - RSI: 57.81
AKJCL,2024-07-04,AKJCL - 2024-07-04 00:00:00 - Bear Close: 227.7 - RSI: 68.54
PRIN,2024-07-04,PRIN - 2024-07-04 00:00:00 - Bear Close: 815.0 - RSI: 64.92
SHINE,2024-07-04,SHINE - 2024-07-04 00:00:00 - Bear Close: 404.0 - RSI: 65.37
CHL,2024-07-04,CHL - 2024-07-04 00:00:00 - Bull Close: 307.0 - RSI: 41.61
NONLIFEINSU,2024-07-04,NONLIFEINSU - 2024-07-04 00:00:00 - Bear Close: 10734.66 - RSI: 57.18
HURJA,2024-07-03,HURJA - 2024-07-03 00:00:00 - Bull Close: 269.0 - RSI: 41.36
HEI,2024-07-03,HEI - 2024-07-03 00:00:00 - Bear Close: 616.0 - RSI: 59.93
USLB,2024-07-03,USLB - 2024-07-03 00:00:00 - Bull Close: 1768.0 - RSI: 40.25
STC,2024-07-03,STC - 2024-07-03 00:00:00 - Bear Close: 4997.0 - RSI: 69.69
NICA,2024-07-02,NICA - 2024-07-02 00:00:00 - Bear Close: 418.0 - RSI: 60.14
SGIC,2024-07-02,SGIC - 2024-07-02 00:00:00 - Bear Close: 554.0 - RSI: 61.29
PCBL,2024-07-02,PCBL - 2024-07-02 00:00:00 - Bear Close: 202.0 - RSI: 56.04
DOLTI,2024-07-01,DOLTI - 2024-07-01 00:00:00 - Bear Close: 427.9 - RSI: 51.91
TVCL,2024-07-01,TVCL - 2024-07-01 00:00:00 - Bear Close: 491.0 - RSI: 57.55
PCBL,2024-07-01,PCBL - 2024-07-01 00:00:00 - Bull Close: 195.8 - RSI: 45.92
OHL,2024-07-01,OHL - 2024-07-01 00:00:00 - Bear Close: 763.0 - RSI: 52.06
STC,2024-06-30,STC - 2024-06-30 00:00:00 - Bull Close: 4525.0 - RSI: 42.82
OHL,2024-06-30,OHL - 2024-06-30 00:00:00 - Bull Close: 747.3 - RSI: 44.71
GLH,2024-06-30,GLH - 2024-06-30 00:00:00 - Bull Close: 205.8 - RSI: 43.79
DOLTI,2024-06-30,DOLTI - 2024-06-30 00:00:00 - Bull Close: 406.7 - RSI: 41.81
NICA,2024-06-30,NICA - 2024-06-30 00:00:00 - Bull Close: 394.1 - RSI: 43.99
SHINE,2024-06-27,SHINE - 2024-06-27 00:00:00 - Bull Close: 376.0 - RSI: 40.78
SGIC,2024-06-27,SGIC - 2024-06-27 00:00:00 - Bull Close: 521.0 - RSI: 41.14
HEI,2024-06-27,HEI - 2024-06-27 00:00:00 - Bull Close: 573.2 - RSI: 38.82
NONLIFEINSU,2024-06-27,NONLIFEINSU - 2024-06-27 00:00:00 - Bull Close: 10421.29 - RSI: 39.44
LBBL,2024-06-26,LBBL - 2024-06-26 00:00:00 - Bull Close: 378.0 - RSI: 46.21
CBBL,2024-06-26,CBBL - 2024-06-26 00:00:00 - Bull Close: 830.0 - RSI: 41.59
SAHAS,2024-06-26,SAHAS - 2024-06-26 00:00:00 - Bull Close: 506.0 - RSI: 40.15
JBLB,2024-06-26,JBLB - 2024-06-26 00:00:00 - Bull Close: 1324.0 - RSI: 44.70
NLIC,2024-06-25,NLIC - 2024-06-25 00:00:00 - Bull Close: 585.2 - RSI: 38.86
PRVU,2024-06-24,PRVU - 2024-06-24 00:00:00 - Bull Close: 141.0 - RSI: 43.72
PMHPL,2024-06-23,PMHPL - 2024-06-23 00:00:00 - Bull Close: 229.8 - RSI: 46.14
GUFL,2024-06-23,GUFL - 2024-06-23 00:00:00 - Bear Close: 781.0 - RSI: 67.95
SICL,2024-06-23,SICL - 2024-06-23 00:00:00 - Bull Close: 690.0 - RSI: 40.98
HPPL,2024-06-23,HPPL - 2024-06-23 00:00:00 - Bear Close: 277.0 - RSI: 63.87
HURJA,2024-06-20,HURJA - 2024-06-20 00:00:00 - Bear Close: 296.0 - RSI: 59.03
KBL,2024-06-20,KBL - 2024-06-20 00:00:00 - Bull Close: 137.8 - RSI: 43.50
LSL,2024-06-20,LSL - 2024-06-20 00:00:00 - Bull Close: 154.8 - RSI: 43.01
MEL,2024-06-20,MEL - 2024-06-20 00:00:00 - Bull Close: 224.0 - RSI: 45.60
MFIL,2024-06-19,MFIL - 2024-06-19 00:00:00 - Bear Close: 520.0 - RSI: 57.86
GLH,2024-06-19,GLH - 2024-06-19 00:00:00 - Bear Close: 219.3 - RSI: 56.66
PMHPL,2024-06-19,PMHPL - 2024-06-19 00:00:00 - Bear Close: 241.0 - RSI: 60.35
DHPL,2024-06-18,DHPL - 2024-06-18 00:00:00 - Bear Close: 220.2 - RSI: 70.54
UNHPL,2024-06-16,UNHPL - 2024-06-16 00:00:00 - Bear Close: 243.9 - RSI: 62.82
SSHL,2024-06-16,SSHL - 2024-06-16 00:00:00 - Bear Close: 182.8 - RSI: 71.67
PRIN,2024-06-16,PRIN - 2024-06-16 00:00:00 - Bull Close: 771.8 - RSI: 46.68
TRH,2024-06-16,TRH - 2024-06-16 00:00:00 - Bear Close: 768.0 - RSI: 56.28
PRIN,2024-06-13,PRIN - 2024-06-13 00:00:00 - Bear Close: 783.1 - RSI: 51.04
HBL,2024-06-13,HBL - 2024-06-13 00:00:00 - Bull Close: 184.0 - RSI: 46.97
RADHI,2024-06-13,RADHI - 2024-06-13 00:00:00 - Bear Close: 265.0 - RSI: 76.25
PHCL,2024-06-13,PHCL - 2024-06-13 00:00:00 - Bear Close: 331.0 - RSI: 69.03
SPDL,2024-06-12,SPDL - 2024-06-12 00:00:00 - Bear Close: 249.9 - RSI: 62.28
NGPL,2024-06-12,NGPL - 2024-06-12 00:00:00 - Bear Close: 313.5 - RSI: 58.01
STC,2024-06-11,STC - 2024-06-11 00:00:00 - Bear Close: 4810.0 - RSI: 63.04
BARUN,2024-06-11,BARUN - 2024-06-11 00:00:00 - Bear Close: 273.9 - RSI: 75.57
SICL,2024-06-11,SICL - 2024-06-11 00:00:00 - Bear Close: 710.0 - RSI: 58.44
MHNL,2024-06-11,MHNL - 2024-06-11 00:00:00 - Bear Close: 257.0 - RSI: 61.13
RURU,2024-06-11,RURU - 2024-06-11 00:00:00 - Bear Close: 679.9 - RSI: 71.31
SICL,2024-06-10,SICL - 2024-06-10 00:00:00 - Bull Close: 693.0 - RSI: 43.23
TPC,2024-06-10,TPC - 2024-06-10 00:00:00 - Bear Close: 547.0 - RSI: 66.01
NIMB,2024-06-10,NIMB - 2024-06-10 00:00:00 - Bull Close: 156.5 - RSI: 42.69
TSHL,2024-06-10,TSHL - 2024-06-10 00:00:00 - Bear Close: 535.0 - RSI: 58.71
SPC,2024-06-10,SPC - 2024-06-10 00:00:00 - Bear Close: 637.0 - RSI: 74.43
DORDI,2024-06-09,DORDI - 2024-06-09 00:00:00 - Bear Close: 426.9 - RSI: 54.67
CBBL,2024-06-09,CBBL - 2024-06-09 00:00:00 - Bear Close: 850.0 - RSI: 55.86
MLBL,2024-06-06,MLBL - 2024-06-06 00:00:00 - Bull Close: 322.2 - RSI: 43.84
CHDC,2024-06-06,CHDC - 2024-06-06 00:00:00 - Bear Close: 980.0 - RSI: 69.49
GBIME,2024-06-06,GBIME - 2024-06-06 00:00:00 - Bull Close: 180.5 - RSI: 45.45
NGPL,2024-06-06,NGPL - 2024-06-06 00:00:00 - Bull Close: 300.1 - RSI: 43.11
PRIN,2024-06-05,PRIN - 2024-06-05 00:00:00 - Bull Close: 770.5 - RSI: 45.66
DDBL,2024-06-05,DDBL - 2024-06-05 00:00:00 - Bear Close: 739.2 - RSI: 54.20
TSHL,2024-06-05,TSHL - 2024-06-05 00:00:00 - Bull Close: 500.0 - RSI: 44.69
CBBL,2024-06-04,CBBL - 2024-06-04 00:00:00 - Bull Close: 833.1 - RSI: 45.65
IGI,2024-06-04,IGI - 2024-06-04 00:00:00 - Bull Close: 530.0 - RSI: 45.18
NICA,2024-06-04,NICA - 2024-06-04 00:00:00 - Bear Close: 415.5 - RSI: 57.23
TRADING,2024-06-03,TRADING - 2024-06-03 00:00:00 - Bear Close: 2928.54 - RSI: 73.18
MAKAR,2024-06-03,MAKAR - 2024-06-03 00:00:00 - Bear Close: 405.0 - RSI: 60.61
SHL,2024-06-03,SHL - 2024-06-03 00:00:00 - Bull Close: 436.0 - RSI: 45.38
BHL,2024-06-03,BHL - 2024-06-03 00:00:00 - Bear Close: 344.7 - RSI: 57.86
GBIME,2024-06-03,GBIME - 2024-06-03 00:00:00 - Bear Close: 183.6 - RSI: 51.78
HYDROPOWER,2024-06-03,HYDROPOWER - 2024-06-03 00:00:00 - Bear Close: 2513.94 - RSI: 60.43
JBBL,2024-06-03,JBBL - 2024-06-03 00:00:00 - Bull Close: 288.1 - RSI: 43.12
PPL,2024-06-03,PPL - 2024-06-03 00:00:00 - Bull Close: 453.0 - RSI: 37.96
NLIC,2024-06-03,NLIC - 2024-06-03 00:00:00 - Bear Close: 615.1 - RSI: 62.95
BBC,2024-06-03,BBC - 2024-06-03 00:00:00 - Bear Close: 3870.0 - RSI: 58.09
TAMOR,2024-06-02,TAMOR - 2024-06-02 00:00:00 - Bear Close: 385.0 - RSI: 54.40
MKJC,2024-06-02,MKJC - 2024-06-02 00:00:00 - Bear Close: 496.0 - RSI: 64.71
CGH,2024-06-02,CGH - 2024-06-02 00:00:00 - Bear Close: 845.0 - RSI: 57.19
CKHL,2024-06-02,CKHL - 2024-06-02 00:00:00 - Bear Close: 563.0 - RSI: 58.65
MBL,2024-06-02,MBL - 2024-06-02 00:00:00 - Bull Close: 173.9 - RSI: 48.91
SMJC,2024-05-30,SMJC - 2024-05-30 00:00:00 - Bear Close: 382.0 - RSI: 60.67
HLI,2024-05-30,HLI - 2024-05-30 00:00:00 - Bull Close: 390.0 - RSI: 44.50
SRLI,2024-05-30,SRLI - 2024-05-30 00:00:00 - Bull Close: 437.0 - RSI: 46.19
DDBL,2024-05-30,DDBL - 2024-05-30 00:00:00 - Bull Close: 717.0 - RSI: 46.35
MBL,2024-05-29,MBL - 2024-05-29 00:00:00 - Bear Close: 180.0 - RSI: 56.52
HBL,2024-05-29,HBL - 2024-05-29 00:00:00 - Bear Close: 194.7 - RSI: 62.33
LICN,2024-05-29,LICN - 2024-05-29 00:00:00 - Bear Close: 1384.9 - RSI: 66.37
NRM,2024-05-29,NRM - 2024-05-29 00:00:00 - Bear Close: 378.0 - RSI: 56.14
USHL,2024-05-29,USHL - 2024-05-29 00:00:00 - Bear Close: 486.0 - RSI: 57.74
UMRH,2024-05-29,UMRH - 2024-05-29 00:00:00 - Bear Close: 360.0 - RSI: 56.18
MKCL,2024-05-29,MKCL - 2024-05-29 00:00:00 - Bear Close: 1011.0 - RSI: 74.36
UNL,2024-05-29,UNL - 2024-05-29 00:00:00 - Bear Close: 43286.1 - RSI: 72.04
NIMB,2024-05-27,NIMB - 2024-05-27 00:00:00 - Bear Close: 169.9 - RSI: 71.25
CBBL,2024-05-27,CBBL - 2024-05-27 00:00:00 - Bear Close: 858.4 - RSI: 60.33
SICL,2024-05-27,SICL - 2024-05-27 00:00:00 - Bear Close: 718.0 - RSI: 66.67
DDBL,2024-05-27,DDBL - 2024-05-27 00:00:00 - Bear Close: 743.0 - RSI: 55.16
NRN,2024-05-27,NRN - 2024-05-27 00:00:00 - Bear Close: 572.8 - RSI: 68.22
DHPL,2024-05-27,DHPL - 2024-05-27 00:00:00 - Bull Close: 195.0 - RSI: 45.05
MEN,2024-05-27,MEN - 2024-05-27 00:00:00 - Bear Close: 586.0 - RSI: 68.57
SRLI,2024-05-27,SRLI - 2024-05-27 00:00:00 - Bear Close: 455.0 - RSI: 57.28
HATHY,2024-05-27,HATHY - 2024-05-27 00:00:00 - Bear Close: 908.0 - RSI: 63.19
LBBL,2024-05-27,LBBL - 2024-05-27 00:00:00 - Bear Close: 387.9 - RSI: 57.00
HOTELS,2024-05-27,HOTELS - 2024-05-27 00:00:00 - Bear Close: 5418.67 - RSI: 65.89
SHL,2024-05-26,SHL - 2024-05-26 00:00:00 - Bear Close: 456.1 - RSI: 61.07
PRVU,2024-05-26,PRVU - 2024-05-26 00:00:00 - Bear Close: 153.9 - RSI: 67.45
KBL,2024-05-26,KBL - 2024-05-26 00:00:00 - Bear Close: 150.2 - RSI: 68.00
NMB,2024-05-26,NMB - 2024-05-26 00:00:00 - Bear Close: 211.0 - RSI: 84.66
LSL,2024-05-26,LSL - 2024-05-26 00:00:00 - Bear Close: 170.0 - RSI: 72.58
NABIL,2024-05-26,NABIL - 2024-05-26 00:00:00 - Bear Close: 517.0 - RSI: 86.99
OHL,2024-05-26,OHL - 2024-05-26 00:00:00 - Bear Close: 782.0 - RSI: 59.07
CITY,2024-05-26,CITY - 2024-05-26 00:00:00 - Bear Close: 670.0 - RSI: 71.18
SAHAS,2024-05-26,SAHAS - 2024-05-26 00:00:00 - Bear Close: 535.0 - RSI: 60.20
HLI,2024-05-26,HLI - 2024-05-26 00:00:00 - Bear Close: 400.7 - RSI: 53.48
CZBIL,2024-05-22,CZBIL - 2024-05-22 00:00:00 - Bear Close: 179.0 - RSI: 77.88
BANKING,2024-05-22,BANKING - 2024-05-22 00:00:00 - Bear Close: 1192.73 - RSI: 83.68
SENSITIVE,2024-05-22,SENSITIVE - 2024-05-22 00:00:00 - Bear Close: 382.67 - RSI: 77.05
SPL,2024-05-22,SPL - 2024-05-22 00:00:00 - Bear Close: 698.0 - RSI: 69.06
SBI,2024-05-22,SBI - 2024-05-22 00:00:00 - Bear Close: 309.5 - RSI: 72.28
SPHL,2024-05-21,SPHL - 2024-05-21 00:00:00 - Bear Close: 502.8 - RSI: 67.43
TSHL,2024-05-21,TSHL - 2024-05-21 00:00:00 - Bear Close: 535.0 - RSI: 58.37
SMHL,2024-05-21,SMHL - 2024-05-21 00:00:00 - Bear Close: 515.0 - RSI: 76.22
FLOAT,2024-05-21,FLOAT - 2024-05-21 00:00:00 - Bear Close: 144.03 - RSI: 74.44
KPCL,2024-05-21,KPCL - 2024-05-21 00:00:00 - Bear Close: 447.0 - RSI: 70.08
NEPSE,2024-05-21,NEPSE - 2024-05-21 00:00:00 - Bear Close: 2115.94 - RSI: 73.94
JBBL,2024-05-21,JBBL - 2024-05-21 00:00:00 - Bear Close: 297.2 - RSI: 54.41
MHL,2024-05-21,MHL - 2024-05-21 00:00:00 - Bear Close: 453.0 - RSI: 67.91
IGI,2024-05-20,IGI - 2024-05-20 00:00:00 - Bear Close: 553.5 - RSI: 60.35
SANIMA,2024-05-20,SANIMA - 2024-05-20 00:00:00 - Bear Close: 256.5 - RSI: 75.97
SBL,2024-05-20,SBL - 2024-05-20 00:00:00 - Bear Close: 240.5 - RSI: 71.75
EBL,2024-05-20,EBL - 2024-05-20 00:00:00 - Bear Close: 532.0 - RSI: 73.62
PCBL,2024-05-20,PCBL - 2024-05-20 00:00:00 - Bear Close: 205.9 - RSI: 70.50
PRIN,2024-05-19,PRIN - 2024-05-19 00:00:00 - Bear Close: 800.0 - RSI: 56.84
GUFL,2024-05-19,GUFL - 2024-05-19 00:00:00 - Bull Close: 683.0 - RSI: 37.36
NONLIFEINSU,2024-05-19,NONLIFEINSU - 2024-05-19 00:00:00 - Bear Close: 11023.08 - RSI: 68.91
RFPL,2024-05-19,RFPL - 2024-05-19 00:00:00 - Bear Close: 392.0 - RSI: 61.70
KDL,2024-05-19,KDL - 2024-05-19 00:00:00 - Bear Close: 823.0 - RSI: 59.09
TSHL,2024-05-19,TSHL - 2024-05-19 00:00:00 - Bull Close: 509.0 - RSI: 48.93
SALICO,2024-05-19,SALICO - 2024-05-19 00:00:00 - Bear Close: 712.0 - RSI: 66.97
NWCL,2024-05-16,NWCL - 2024-05-16 00:00:00 - Bear Close: 735.4 - RSI: 51.91
PRIN,2024-05-16,PRIN - 2024-05-16 00:00:00 - Bull Close: 767.2 - RSI: 45.24
JBLB,2024-05-15,JBLB - 2024-05-15 00:00:00 - Bear Close: 1380.0 - RSI: 63.78
PRIN,2024-05-15,PRIN - 2024-05-15 00:00:00 - Bear Close: 785.0 - RSI: 52.32
NWCL,2024-05-15,NWCL - 2024-05-15 00:00:00 - Bull Close: 720.1 - RSI: 46.83
JOSHI,2024-05-15,JOSHI - 2024-05-15 00:00:00 - Bull Close: 310.1 - RSI: 38.15
UAIL,2024-05-15,UAIL - 2024-05-15 00:00:00 - Bear Close: 580.0 - RSI: 66.23
BNHC,2024-05-15,BNHC - 2024-05-15 00:00:00 - Bear Close: 520.0 - RSI: 67.38
SMH,2024-05-15,SMH - 2024-05-15 00:00:00 - Bear Close: 685.9 - RSI: 59.80
SCB,2024-05-14,SCB - 2024-05-14 00:00:00 - Bear Close: 544.0 - RSI: 71.62
NHDL,2024-05-14,NHDL - 2024-05-14 00:00:00 - Bear Close: 447.0 - RSI: 63.53
CLI,2024-05-14,CLI - 2024-05-14 00:00:00 - Bear Close: 462.4 - RSI: 57.92
ENL,2024-05-14,ENL - 2024-05-14 00:00:00 - Bear Close: 800.1 - RSI: 53.66
GVL,2024-05-14,GVL - 2024-05-14 00:00:00 - Bear Close: 452.0 - RSI: 65.26
RFPL,2024-05-13,RFPL - 2024-05-13 00:00:00 - Bull Close: 329.4 - RSI: 34.57
NWCL,2024-05-13,NWCL - 2024-05-13 00:00:00 - Bear Close: 740.0 - RSI: 53.50
HEI,2024-05-13,HEI - 2024-05-13 00:00:00 - Bear Close: 595.9 - RSI: 55.61
MLBL,2024-05-13,MLBL - 2024-05-13 00:00:00 - Bear Close: 333.0 - RSI: 56.53
SGIC,2024-05-13,SGIC - 2024-05-13 00:00:00 - Bear Close: 534.5 - RSI: 55.28
SMH,2024-05-12,SMH - 2024-05-12 00:00:00 - Bull Close: 653.8 - RSI: 46.36
ADBL,2024-05-09,ADBL - 2024-05-09 00:00:00 - Bear Close: 239.0 - RSI: 58.51
SNLI,2024-05-09,SNLI - 2024-05-09 00:00:00 - Bull Close: 455.0 - RSI: 12.86
ENL,2024-05-08,ENL - 2024-05-08 00:00:00 - Bull Close: 781.0 - RSI: 46.97
BNHC,2024-05-07,BNHC - 2024-05-07 00:00:00 - Bull Close: 434.8 - RSI: 39.06
ENL,2024-05-07,ENL - 2024-05-07 00:00:00 - Bear Close: 795.1 - RSI: 51.47
NWCL,2024-05-07,NWCL - 2024-05-07 00:00:00 - Bull Close: 705.0 - RSI: 41.21
UNL,2024-05-06,UNL - 2024-05-06 00:00:00 - Bull Close: 38710.0 - RSI: 41.19
ENL,2024-05-06,ENL - 2024-05-06 00:00:00 - Bull Close: 785.9 - RSI: 48.48
BHL,2024-05-06,BHL - 2024-05-06 00:00:00 - Bull Close: 320.0 - RSI: 37.92
MHL,2024-05-06,MHL - 2024-05-06 00:00:00 - Bull Close: 400.0 - RSI: 45.88
SHINE,2024-05-06,SHINE - 2024-05-06 00:00:00 - Bear Close: 385.9 - RSI: 57.58
SMJC,2024-05-05,SMJC - 2024-05-05 00:00:00 - Bull Close: 349.2 - RSI: 33.24
SWBBL,2024-05-05,SWBBL - 2024-05-05 00:00:00 - Bear Close: 764.0 - RSI: 58.10
MAKAR,2024-05-05,MAKAR - 2024-05-05 00:00:00 - Bull Close: 364.9 - RSI: 38.56
